sector,n_stocks,GNN RMSE,GARCH RMSE,GJR RMSE,GNN vs GARCH Δ%
Communication Services,7,0.02668660506606102,0.04525266806625388,0.0467229633423103,+41.0%
Consumer Discretionary,11,0.021804168820381165,0.028598178032965944,0.03226584565845065,+23.8%
Consumer Staples,9,0.016303448006510735,0.01728450525570539,0.01816805055121136,+5.7%
Energy,6,0.02497662603855133,0.023557284722076466,0.02428166537360858,-6.0%
Financials,12,0.019525175914168358,0.01881016239310685,0.021519257862157658,-3.8%
Health Care,13,0.015248250216245651,0.017637627890632643,0.017824390314266365,+13.5%
Industrials,9,0.02200503833591938,0.024281279689467878,0.024242923786381012,+9.4%
Information Technology,17,0.03143831714987755,0.03218415935702408,0.033039484244851675,+2.3%
Materials,5,0.021800588816404343,0.026436433606507312,0.027120304571383237,+17.5%
Real Estate,5,0.01587633043527603,0.018029517104304907,0.0182178933228082,+11.9%
Utilities,5,0.019759919494390488,0.02247511650000353,0.025055141861700034,+12.1%
